Year,Agegroup,Count
2013,0-4,4
2013,5-9,0
2013,10-14,0
2013,15-19,0
2013,20-24,2
2013,25-29,1
2013,30-34,1
2013,35-39,0
2013,40-44,0
2013,45-49,0
2013,50-54,0
2013,55-59,1
2013,60-64,0
2013,65-69,2
2013,70-74,0
2013,75-79,0
2013,80-84,0
2013,85+,0
2014,0-4,4
2014,5-9,3
2014,10-14,0
2014,15-19,1
2014,20-24,2
2014,25-29,4
2014,30-34,2
2014,35-39,3
2014,40-44,5
2014,45-49,2
2014,50-54,2
2014,55-59,1
2014,60-64,1
2014,65-69,3
2014,70-74,0
2014,75-79,3
2014,80-84,1
2014,85+,2
2015,0-4,10
2015,5-9,5
2015,10-14,4
2015,15-19,0
2015,20-24,4
2015,25-29,3
2015,30-34,10
2015,35-39,7
2015,40-44,3
2015,45-49,2
2015,50-54,3
2015,55-59,4
2015,60-64,1
2015,65-69,1
2015,70-74,3
2015,75-79,2
2015,80-84,1
2015,85+,5
